level_1,level_2,value
Total,Total,115620
Total,No Qualification,4474
Total,Primary,5412
Total,Lower Secondary,9384
Total,Secondary,24481
Total,Post Secondary (Non-Tertiary),11922
Total,Polytechnic,9330
Total,Professional Qualification & Other Diploma,6721
Total,University,29151
